Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
6,1,1,0,0,3,4,1,2,0,0,0,0,1,5,0,0,1.5
15,0,2,0,0,0,0,0,2,0,0,0,2,5,0,0,0,4.0
9,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1.25
2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.25
7,1,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,5.75
6,2,2,0,0,1,2,0,1,3,0,0,1,1,5,0,0,15.75
8,3,3,0,0,2,2,1,2,0,0,2,0,2,8,0,0,7.25
7,2,2,0,0,0,0,0,1,0,0,1,0,1,4,0,0,3.25
15,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,7.75
16,2,3,0,0,3,4,0,1,0,0,0,1,3,7,0,0,14.0
21,3,3,0,0,2,2,1,3,1,0,1,2,4,8,0,0,13.75
17,3,3,0,0,2,2,1,2,0,1,1,0,4,8,0,0,10.5
12,2,2,0,0,0,0,1,3,0,0,1,1,4,4,0,0,14.75
15,1,1,0,0,2,2,3,6,0,0,0,1,1,4,0,0,12.0
19,1,1,0,0,0,0,1,1,2,1,1,1,2,2,0,0,9.5
16,2,4,0,0,1,3,1,3,0,2,0,1,3,5,0,0,1.25
5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.5
22,2,2,0,0,4,4,2,6,1,0,2,1,2,8,0,0,-0.5
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.75
23,3,5,0,0,2,3,4,3,1,0,0,2,2,8,0,0,8.25
21,2,2,0,0,3,4,0,1,2,0,0,0,3,7,0,0,15.5
17,3,4,0,0,4,4,0,2,1,1,0,0,2,10,0,0,19.5
23,4,4,0,0,1,1,2,2,2,1,0,1,3,9,0,0,15.75
16,2,3,0,0,0,0,0,3,2,1,1,0,2,4,0,0,10.0
17,0,3,0,1,0,0,0,4,1,1,1,0,1,0,0,0,15.75
15,2,3,0,0,2,4,1,6,0,1,1,2,2,6,0,0,26.5
21,5,6,1,1,0,0,2,4,2,0,4,1,5,11,0,0,18.25
22,3,7,0,0,0,0,1,6,1,0,2,1,1,6,0,0,19.75
24,2,5,0,0,2,4,5,0,5,0,4,1,2,6,0,0,32.25
35,6,7,0,0,5,6,1,10,3,0,0,0,2,17,1,0,28.75
34,10,18,0,2,7,8,1,3,4,1,1,3,2,27,0,0,34.5
32,8,13,2,5,10,11,1,5,5,0,0,4,3,28,0,0,43.0
28,8,9,2,3,1,2,0,4,3,2,1,4,3,19,0,0,28.5
32,5,12,0,2,0,0,0,6,4,1,0,2,1,10,0,0,28.0
31,8,23,1,6,4,5,4,2,4,0,0,2,3,21,0,0,27.25
30,9,18,4,7,1,1,0,3,7,0,0,3,2,23,0,0,35.5
29,2,11,0,6,0,0,0,2,5,2,0,2,3,4,0,0,62.5
40,7,16,1,5,4,6,0,6,6,2,0,1,4,19,0,0,55.5
30,10,17,4,6,5,7,1,3,2,3,1,1,5,29,0,0,49.75
29,8,20,1,3,3,4,3,2,2,4,0,2,1,20,0,0,37.25
32,10,16,3,6,3,4,1,4,1,1,1,3,2,26,0,0,37.0
31,6,13,1,4,4,9,0,2,5,1,1,0,2,17,0,0,5.5
21,1,6,0,3,2,4,0,2,0,0,0,2,0,4,0,0,15.75
17,5,12,0,3,0,0,3,2,4,0,0,1,3,10,0,0,73.5
15,5,11,0,3,1,2,0,2,4,5,0,0,1,11,0,0,17.5
23,3,11,0,5,0,0,0,0,4,1,1,5,3,6,0,0,22.25
31,5,14,2,5,0,0,1,6,9,0,1,3,4,12,0,0,18.0
21,4,11,1,2,3,4,0,0,1,2,0,1,2,12,0,0,19.75
30,2,8,2,4,0,0,1,4,2,1,1,3,2,6,0,0,24.25
27,5,14,2,5,3,3,0,5,7,0,1,0,0,15,0,0,1.5
20,0,5,0,3,0,0,0,2,0,0,0,2,3,0,0,0,24.25
24,6,11,2,4,0,0,2,5,4,0,1,3,2,14,0,0,28.0
29,3,9,0,2,2,2,1,1,6,1,0,1,2,8,0,0,39.75
27,5,11,2,7,6,8,0,5,5,1,0,1,2,18,0,0,22.5
20,5,12,3,5,1,4,1,3,1,0,1,0,0,14,0,0,10.25
21,1,6,0,2,0,0,1,4,1,1,0,2,0,2,0,0,21.75
27,6,13,0,2,0,0,0,5,2,1,0,5,0,12,0,0,16.0
19,3,10,1,2,1,1,0,6,4,0,0,0,2,8,0,0,31.25
27,3,12,0,3,0,0,0,1,4,2,0,0,2,6,0,0,16.0
32,6,15,0,4,0,1,1,3,7,0,0,2,2,12,0,0,9.75
24,3,8,0,1,0,0,3,0,6,0,0,0,1,6,0,0,14.25
18,0,6,0,3,0,0,0,3,3,1,1,1,3,0,0,0,40.75
24,5,8,1,2,5,6,1,2,7,1,0,1,2,16,0,0,34.5
28,6,14,2,4,4,6,1,3,3,1,1,1,0,18,0,0,29.5
29,5,13,1,4,4,6,0,2,1,4,0,1,0,15,0,0,29.5
30,8,15,4,8,4,6,4,0,6,0,0,3,1,24,0,0,21.0
26,1,9,1,4,0,2,1,1,5,1,0,0,3,3,0,0,27.5
26,9,12,4,5,2,4,0,2,6,0,0,2,2,24,0,0,38.25
28,7,16,0,3,4,6,2,3,2,2,1,0,2,18,0,0,13.25
20,4,5,1,1,1,1,1,2,4,0,0,2,2,10,0,0,60.25
37,9,19,1,4,1,4,0,5,4,3,0,5,3,20,0,0,36.0
24,4,7,1,4,3,4,0,2,4,2,0,6,5,12,0,0,32.5
39,11,22,3,7,2,3,0,4,5,0,0,2,0,27,0,0,21.5
